Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Enki Login,Chrome 75.0.3770.142,,2019-07-23 11:21:07,2019-07-23 11:21:27,19.724s,PASSED
,,,,,,
Test Cases/Management Screen (Settings)/Login/Enki Login,Chrome 75.0.3770.142,,2019-07-23 11:21:07,2019-07-23 11:21:26,18.692s,PASSED
"comment(""Enki - Login"")",Chrome 75.0.3770.142,,2019-07-23 11:21:08,2019-07-23 11:21:08,0.128s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,Open browser,2019-07-23 11:21:08,2019-07-23 11:21:11,3.574s,PASSED
"navigateToUrl(""https://uat-enki.upreach.org.uk/"")",Chrome 75.0.3770.142,,2019-07-23 11:21:11,2019-07-23 11:21:14,2.663s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,Maximize the opened browser,2019-07-23 11:21:14,2019-07-23 11:21:15,1.174s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 75.0.3770.142,Print message on console log,2019-07-23 11:21:15,2019-07-23 11:21:15,0.008s,PASSED
try,Chrome 75.0.3770.142,Check whether User Name field exists or not,2019-07-23 11:21:15,2019-07-23 11:21:15,0.289s,PASSED
try,Chrome 75.0.3770.142,Check whether Password field exists or not,2019-07-23 11:21:15,2019-07-23 11:21:16,0.232s,PASSED
try,Chrome 75.0.3770.142,Check whether Log In button exists or not,2019-07-23 11:21:16,2019-07-23 11:21:16,0.157s,PASSED
delay(5),Chrome 75.0.3770.142,,2019-07-23 11:21:16,2019-07-23 11:21:21,5.010s,PASSED
currentpageurl = getUrl(),Chrome 75.0.3770.142,Check if login was proper or not,2019-07-23 11:21:21,2019-07-23 11:21:21,0.023s,PASSED
"if (currentpageurl.equals(""https://uat-enki.upreach.org.uk/home""))",Chrome 75.0.3770.142,,2019-07-23 11:21:21,2019-07-23 11:21:21,0.004s,PASSED
delay(5),Chrome 75.0.3770.142,,2019-07-23 11:21:21,2019-07-23 11:21:26,5.004s,PASSED
