Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
getEmployable,Chrome 74.0.3729.169,,2019-05-24 10:53:30,2019-05-24 10:55:01,1m - 30.631s,FAILED
,,,,,,
Test Cases/getEmployable/launchSite,Chrome 74.0.3729.169,,2019-05-24 10:53:31,2019-05-24 10:53:49,18.387s,PASSED
"comment(""Opening getEmployable application"")",Chrome 74.0.3729.169,,2019-05-24 10:53:31,2019-05-24 10:53:32,0.544s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Launch browser,2019-05-24 10:53:32,2019-05-24 10:53:37,5.361s,PASSED
"navigateToUrl(findTestData(""getEmployable/URL"").getValue(1, 1))",Chrome 74.0.3729.169,Invoke getEmployable site ,2019-05-24 10:53:37,2019-05-24 10:53:43,5.661s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,Maximize the browser,2019-05-24 10:53:43,2019-05-24 10:53:44,1.146s,PASSED
"verifyElementPresent(findTestObject(""getEmployable/form""), 10, STOP_ON_FAILURE)",Chrome 74.0.3729.169,Verify the site lauched sucessfully,2019-05-24 10:53:44,2019-05-24 10:53:44,0.082s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-05-24 10:53:44,2019-05-24 10:53:49,5.009s,PASSED
,,,,,,
Test Cases/getEmployable/aboutYou,Chrome 74.0.3729.169,,2019-05-24 10:53:49,2019-05-24 10:54:12,23.014s,PASSED
"comment(""Enter aboutYou page details"")",Chrome 74.0.3729.169,,2019-05-24 10:53:49,2019-05-24 10:53:49,0.005s,PASSED
"setText(findTestObject(""getEmployable/input_First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,"Enter First Name
",2019-05-24 10:53:49,2019-05-24 10:53:50,0.200s,PASSED
"setText(findTestObject(""getEmployable/input_Last name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-05-24 10:53:50,2019-05-24 10:53:50,0.251s,PASSED
