Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
2020Delivery,Chrome 75.0.3770.142,,2019-07-30 09:10:37,2019-07-30 09:12:32,1m - 55.325s,PASSED
,,,,,,
Test Cases/REALratings/2020Delivery/formSubmission,Chrome 75.0.3770.142,,2019-07-30 09:10:37,2019-07-30 09:11:10,33.135s,PASSED
"comment(""2020Delivery - Form Submission"")",Chrome 75.0.3770.142,,2019-07-30 09:10:38,2019-07-30 09:10:38,0.053s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,Open Browser,2019-07-30 09:10:38,2019-07-30 09:10:41,3.368s,PASSED
"navigateToUrl(""https://2020-uat.realrating.co.uk/"")",Chrome 75.0.3770.142,Launch 2020Delivery Application,2019-07-30 09:10:41,2019-07-30 09:10:45,3.955s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,2019-07-30 09:10:45,2019-07-30 09:10:46,1.140s,PASSED
delay(1),Chrome 75.0.3770.142,,2019-07-30 09:10:46,2019-07-30 09:10:47,1.012s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.142,,2019-07-30 09:10:47,2019-07-30 09:10:48,0.009s,PASSED
"comment(""Basic Information"")",Chrome 75.0.3770.142,,2019-07-30 09:10:48,2019-07-30 09:10:48,0.013s,PASSED
"setText(findTestObject(""REALRatings/2020Delivery/Page_REALrating/input_First Name_first_name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 75.0.3770.142,Enter First Name,2019-07-30 09:10:48,2019-07-30 09:10:48,0.250s,PASSED
"setText(findTestObject(""REALRatings/2020Delivery/Page_REALrating/input_Last Name_last_name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.142,Enter Last Name,2019-07-30 09:10:48,2019-07-30 09:10:48,0.193s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.142,Enter University Email,2019-07-30 09:10:48,2019-07-30 09:10:48,0.004s,PASSED
"setText(findTestObject(""REALRatings/2020Delivery/Page_REALrating/input_Email address used in your application_email""), ""2020"" + Email + ""@test.com"")",Chrome 75.0.3770.142,,2019-07-30 09:10:48,2019-07-30 09:10:48,0.274s,PASSED
"click(findTestObject(""REALRatings/Greensill/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 75.0.3770.142,Click NEXT,2019-07-30 09:10:48,2019-07-30 09:10:48,0.083s,PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-30 09:10:48,2019-07-30 09:10:50,2.004s,PASSED
"comment(""University Information"")",Chrome 75.0.3770.142,,2019-07-30 09:10:50,2019-07-30 09:10:50,0.018s,PASSED
"UniversityTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University""))",Chrome 75.0.3770.142,University,2019-07-30 09:10:50,2019-07-30 09:10:50,0.121s,PASSED
UniversityCount = 1 + rad.nextInt(UniversityTotalOption - 1),Chrome 75.0.3770.142,,2019-07-30 09:10:50,2019-07-30 09:10:50,0.003s,PASSED
