Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CIL,Chrome 75.0.3770.142,,2019-07-30 09:28:18,2019-07-30 09:29:41,1m - 22.962s,PASSED
,,,,,,
Test Cases/REALratings/CIL/Form Submission,Chrome 75.0.3770.142,,2019-07-30 09:28:19,2019-07-30 09:28:43,23.889s,PASSED
"comment(""CIL REAlrating - Form Submission"")",Chrome 75.0.3770.142,,2019-07-30 09:28:20,2019-07-30 09:28:20,0.048s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,Open Browser,2019-07-30 09:28:20,2019-07-30 09:28:23,3.392s,PASSED
"navigateToUrl(""https://uat-cil.realrating.co.uk/"")",Chrome 75.0.3770.142,Launch CIL Application,2019-07-30 09:28:23,2019-07-30 09:28:27,3.796s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,,2019-07-30 09:28:27,2019-07-30 09:28:28,1.144s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.142,,2019-07-30 09:28:28,2019-07-30 09:28:28,0.003s,PASSED
"comment(""Basic Information"")",Chrome 75.0.3770.142,,2019-07-30 09:28:28,2019-07-30 09:28:28,0.002s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 75.0.3770.142,Enter First Name,2019-07-30 09:28:28,2019-07-30 09:28:28,0.189s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.142,Enter Last Name,2019-07-30 09:28:28,2019-07-30 09:28:29,0.204s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.142,Enter University Email,2019-07-30 09:28:29,2019-07-30 09:28:29,0.003s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/University Emailid""), ""nh"" + Email + ""@test.com"")",Chrome 75.0.3770.142,,2019-07-30 09:28:29,2019-07-30 09:28:29,0.259s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 75.0.3770.142,Click NEXT,2019-07-30 09:28:29,2019-07-30 09:28:29,0.089s,PASSED
"comment(""Main Qualifications"")",Chrome 75.0.3770.142,,2019-07-30 09:28:29,2019-07-30 09:28:29,0.002s,PASSED
"ALevelYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""))",Chrome 75.0.3770.142,A-Level year,2019-07-30 09:28:29,2019-07-30 09:28:29,0.111s,PASSED
ALevelYearcount = 1 + rad.nextInt(ALevelYearTotalOptions - 1),Chrome 75.0.3770.142,,2019-07-30 09:28:29,2019-07-30 09:28:29,0.005s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""), ALevelYearcount)",Chrome 75.0.3770.142,,2019-07-30 09:28:29,2019-07-30 09:28:29,0.233s,PASSED
"GCSEYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""))",Chrome 75.0.3770.142,GCSE Year,2019-07-30 09:28:29,2019-07-30 09:28:29,0.061s,PASSED
GCSEYearCount = 1 + rad.nextInt(GCSEYearTotalOptions - 1),Chrome 75.0.3770.142,,2019-07-30 09:28:29,2019-07-30 09:28:29,0.000s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""), GCSEYearCount)",Chrome 75.0.3770.142,,2019-07-30 09:28:29,2019-07-30 09:28:30,0.493s,PASSED
"MainQualificationTotaloptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""))",Chrome 75.0.3770.142,Select Main Qualification,2019-07-30 09:28:30,2019-07-30 09:28:30,0.060s,PASSED
MainQualificationCount = 1 + rad.nextInt(MainQualificationTotaloptions - 1),Chrome 75.0.3770.142,,2019-07-30 09:28:30,2019-07-30 09:28:30,0.000s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""), MainQualificationCount)",Chrome 75.0.3770.142,,2019-07-30 09:28:30,2019-07-30 09:28:30,0.142s,PASSED
delay(5),Chrome 75.0.3770.142,,2019-07-30 09:28:30,2019-07-30 09:28:35,5.010s,PASSED
if (MainQualificationCount == 1),Chrome 75.0.3770.142,A-Level,2019-07-30 09:28:35,2019-07-30 09:28:35,0.000s,PASSED
else if (MainQualificationCount == 2),Chrome 75.0.3770.142,,2019-07-30 09:28:35,2019-07-30 09:28:35,0.001s,PASSED
else if (MainQualificationCount == 3),Chrome 75.0.3770.142,,2019-07-30 09:28:35,2019-07-30 09:28:35,0.000s,PASSED
else if (MainQualificationCount == 4),Chrome 75.0.3770.142,,2019-07-30 09:28:35,2019-07-30 09:28:35,0.001s,PASSED
else if (MainQualificationCount == 5),Chrome 75.0.3770.142,,2019-07-30 09:28:35,2019-07-30 09:28:36,1.026s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level School""), findTestData(""getEmployable/Applicants"").getValue(6, 1))",Chrome 75.0.3770.142,Alevel School,2019-07-30 09:28:36,2019-07-30 09:28:36,0.303s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE School""), findTestData(""getEmployable/Applicants"").getValue(7, 1))",Chrome 75.0.3770.142,GCSE School,2019-07-30 09:28:36,2019-07-30 09:28:37,0.343s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Gender""))",Chrome 75.0.3770.142,Gender,2019-07-30 09:28:37,2019-07-30 09:28:37,0.082s,PASSED
