Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
FCLP,Chrome 75.0.3770.100,,2019-06-25 10:43:51,2019-06-25 10:45:51,1m - 59.766s,PASSED
,,,,,,
Test Cases/REALratings/FCLP/formSubmission,Chrome 75.0.3770.100,,2019-06-25 10:43:52,2019-06-25 10:44:24,32.255s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,Open Browser,2019-06-25 10:43:53,2019-06-25 10:43:56,3.427s,PASSED
myDriver = getWebDriver(),Chrome 75.0.3770.100,,2019-06-25 10:43:56,2019-06-25 10:43:56,0.011s,PASSED
"navigateToUrl(""https://fclp-uat.realrating.co.uk/"")",Chrome 75.0.3770.100,Launch FCLP Applications,2019-06-25 10:43:56,2019-06-25 10:44:00,3.686s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-06-25 10:44:00,2019-06-25 10:44:01,1.133s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.100,,2019-06-25 10:44:01,2019-06-25 10:44:01,0.004s,PASSED
"comment(""Basic and University  Information"")",Chrome 75.0.3770.100,,2019-06-25 10:44:01,2019-06-25 10:44:01,0.016s,PASSED
"setText(findTestObject(""REALRatings/FCLP/Page_REALrating/First Name""), ""asha"")",Chrome 75.0.3770.100,Enter First Name,2019-06-25 10:44:01,2019-06-25 10:44:01,0.278s,PASSED
"setText(findTestObject(""REALRatings/FCLP/Page_REALrating/Last Name""), ""rajednran"")",Chrome 75.0.3770.100,Enter Last Name,2019-06-25 10:44:01,2019-06-25 10:44:02,0.259s,PASSED
emailid = rad.nextInt(2000),Chrome 75.0.3770.100,Enter University Email,2019-06-25 10:44:02,2019-06-25 10:44:02,0.002s,PASSED
"setText(findTestObject(""REALRatings/FCLP/Page_REALrating/Univrsity Emaid""), ""fclp"" + emailid + ""@test.com"")",Chrome 75.0.3770.100,,2019-06-25 10:44:02,2019-06-25 10:44:02,0.389s,PASSED
"UniversityTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/University""))",Chrome 75.0.3770.100,University,2019-06-25 10:44:02,2019-06-25 10:44:02,0.084s,PASSED
UniversityCount = 1 + rad.nextInt(UniversityTotalOption - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:02,2019-06-25 10:44:02,0.004s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/University""), UniversityCount)",Chrome 75.0.3770.100,,2019-06-25 10:44:02,2019-06-25 10:44:03,0.556s,PASSED
if (UniversityCount == 98),Chrome 75.0.3770.100,Other University,2019-06-25 10:44:03,2019-06-25 10:44:03,0.001s,PASSED
"UniversityCourseTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/University Course""))",Chrome 75.0.3770.100,University Course,2019-06-25 10:44:03,2019-06-25 10:44:03,0.070s,PASSED
UniveristyCourseCount = 1 + rad.nextInt(UniversityCourseTotalOption - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:03,2019-06-25 10:44:03,0.002s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/University Course""), UniveristyCourseCount)",Chrome 75.0.3770.100,,2019-06-25 10:44:03,2019-06-25 10:44:04,0.686s,PASSED
if (UniveristyCourseCount == 95),Chrome 75.0.3770.100,University Other Course ,2019-06-25 10:44:04,2019-06-25 10:44:04,0.001s,PASSED
"GraduationYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/Graduation Year""))",Chrome 75.0.3770.100,Graduation Year,2019-06-25 10:44:04,2019-06-25 10:44:04,0.068s,PASSED
GraduationYearcount = 1 + rad.nextInt(GraduationYearTotalOptions - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:04,0.002s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/Graduation Year""), GraduationYearcount)",Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:04,0.147s,PASSED
"GradeYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/Grade 21""))",Chrome 75.0.3770.100,Do you have a university degree at grade 2:1 or higher (or equivalent)?,2019-06-25 10:44:04,2019-06-25 10:44:04,0.046s,PASSED
GradeYearcount = 1 + rad.nextInt(GradeYearTotalOptions - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:04,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/Grade 21""), GradeYearcount)",Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:04,0.112s,PASSED
"GradeEnglishYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/Grade B English""))",Chrome 75.0.3770.100,Do you have at least a grade B in GCSE English?,2019-06-25 10:44:04,2019-06-25 10:44:04,0.046s,PASSED
GradeEnglishYearcount = 1 + rad.nextInt(GradeEnglishYearTotalOptions - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:04,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/Grade B English""), GradeEnglishYearcount)",Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:04,0.100s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-25 10:44:04,2019-06-25 10:44:06,2.009s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/Grade B Maths""), GradeEnglishYearcount)",Chrome 75.0.3770.100,Do you have at least a grade B in GCSE Maths?,2019-06-25 10:44:06,2019-06-25 10:44:06,0.140s,PASSED
"click(findTestObject(""REALRatings/FCLP/Page_REALrating/a_Next""))",Chrome 75.0.3770.100,,2019-06-25 10:44:06,2019-06-25 10:44:06,0.077s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-25 10:44:06,2019-06-25 10:44:08,2.006s,PASSED
"comment(""Main Qualification Information"")",Chrome 75.0.3770.100,,2019-06-25 10:44:08,2019-06-25 10:44:08,0.015s,PASSED
"ALevelYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/A Level Year""))",Chrome 75.0.3770.100,A-Level year,2019-06-25 10:44:08,2019-06-25 10:44:08,0.082s,PASSED
ALevelYearcount = 1 + rad.nextInt(ALevelYearTotalOptions - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:08,2019-06-25 10:44:08,0.000s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/A Level Year""), ALevelYearcount)",Chrome 75.0.3770.100,,2019-06-25 10:44:08,2019-06-25 10:44:09,0.366s,PASSED
"GCSEYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/FCLP/Page_REALrating/GCSE Year""))",Chrome 75.0.3770.100,GCSE Year,2019-06-25 10:44:09,2019-06-25 10:44:09,0.055s,PASSED
GCSEYearCount = 1 + rad.nextInt(GCSEYearTotalOptions - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:09,2019-06-25 10:44:09,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/FCLP/Page_REALrating/GCSE Year""), GCSEYearCount)",Chrome 75.0.3770.100,,2019-06-25 10:44:09,2019-06-25 10:44:09,0.283s,PASSED
"MainQualificationTotaloptions = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/Main Qualification""))",Chrome 75.0.3770.100,Select Main Qualification,2019-06-25 10:44:09,2019-06-25 10:44:09,0.049s,PASSED
MainQualificationCount = 1 + rad.nextInt(MainQualificationTotaloptions - 1),Chrome 75.0.3770.100,,2019-06-25 10:44:09,2019-06-25 10:44:09,0.000s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/Main Qualification""), MainQualificationCount)",Chrome 75.0.3770.100,,2019-06-25 10:44:09,2019-06-25 10:44:09,0.157s,PASSED
if (MainQualificationCount == 1),Chrome 75.0.3770.100,A-Level,2019-06-25 10:44:09,2019-06-25 10:44:09,0.000s,PASSED
else if (MainQualificationCount == 2),Chrome 75.0.3770.100,,2019-06-25 10:44:09,2019-06-25 10:44:09,0.001s,PASSED
else if (MainQualificationCount == 3),Chrome 75.0.3770.100,,2019-06-25 10:44:09,2019-06-25 10:44:13,3.982s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/A Level School""), findTestData(""getEmployable/Applicants"").getValue(6, 1))",Chrome 75.0.3770.100,Alevel School,2019-06-25 10:44:13,2019-06-25 10:44:14,0.332s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/GCSE School""), findTestData(""getEmployable/Applicants"").getValue(7, 1))",Chrome 75.0.3770.100,GCSE School,2019-06-25 10:44:14,2019-06-25 10:44:14,0.316s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/A Level Postalcode""), findTestData(""getEmployable/Applicants"").getValue(8, 1))",Chrome 75.0.3770.100,ALevel PostalCode,2019-06-25 10:44:14,2019-06-25 10:44:14,0.168s,PASSED
