Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Greensill,Chrome 75.0.3770.100,,2019-07-09 10:39:56,2019-07-09 10:41:25,1m - 28.971s,PASSED
,,,,,,
Test Cases/REALratings/Greensill/formSubmission,Chrome 75.0.3770.100,,2019-07-09 10:39:56,2019-07-09 10:40:23,26.775s,PASSED
"comment(""Greensill - Form Submission"")",Chrome 75.0.3770.100,,2019-07-09 10:39:57,2019-07-09 10:39:57,0.064s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,Open Browser,2019-07-09 10:39:57,2019-07-09 10:40:00,3.286s,PASSED
"navigateToUrl(""https://gs-uat.realrating.co.uk/"")",Chrome 75.0.3770.100,Launch Greensill Application,2019-07-09 10:40:00,2019-07-09 10:40:05,5.092s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-07-09 10:40:05,2019-07-09 10:40:06,1.150s,PASSED
delay(1),Chrome 75.0.3770.100,,2019-07-09 10:40:06,2019-07-09 10:40:07,1.013s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.100,,2019-07-09 10:40:07,2019-07-09 10:40:07,0.007s,PASSED
"comment(""Basic Information"")",Chrome 75.0.3770.100,,2019-07-09 10:40:07,2019-07-09 10:40:07,0.010s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 75.0.3770.100,Enter First Name,2019-07-09 10:40:07,2019-07-09 10:40:08,0.220s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.100,Enter Last Name,2019-07-09 10:40:08,2019-07-09 10:40:08,0.170s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.100,Enter University Email,2019-07-09 10:40:08,2019-07-09 10:40:08,0.001s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/University Emailid""), ""greensill"" + Email + ""@test.com"")",Chrome 75.0.3770.100,,2019-07-09 10:40:08,2019-07-09 10:40:08,0.376s,PASSED
"click(findTestObject(""REALRatings/Greensill/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,Click NEXT,2019-07-09 10:40:08,2019-07-09 10:40:08,0.091s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-09 10:40:08,2019-07-09 10:40:10,2.002s,PASSED
"comment(""University Information"")",Chrome 75.0.3770.100,,2019-07-09 10:40:10,2019-07-09 10:40:10,0.003s,PASSED
"UniversityTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University""))",Chrome 75.0.3770.100,University,2019-07-09 10:40:10,2019-07-09 10:40:10,0.131s,PASSED
UniversityCount = 1 + rad.nextInt(UniversityTotalOption - 1),Chrome 75.0.3770.100,,2019-07-09 10:40:10,2019-07-09 10:40:10,0.004s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/University""), UniversityCount)",Chrome 75.0.3770.100,,2019-07-09 10:40:10,2019-07-09 10:40:11,0.841s,PASSED
if (UniversityCount == 98),Chrome 75.0.3770.100,Other University,2019-07-09 10:40:11,2019-07-09 10:40:11,0.001s,PASSED
"UniversityCourseTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University Course""))",Chrome 75.0.3770.100,University Course,2019-07-09 10:40:11,2019-07-09 10:40:11,0.108s,PASSED
UniveristyCourseCount = 1 + rad.nextInt(UniversityCourseTotalOption - 1),Chrome 75.0.3770.100,,2019-07-09 10:40:11,2019-07-09 10:40:11,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/University Course""), UniveristyCourseCount)",Chrome 75.0.3770.100,,2019-07-09 10:40:11,2019-07-09 10:40:12,0.403s,PASSED
if (UniveristyCourseCount == 95),Chrome 75.0.3770.100,University Other Course ,2019-07-09 10:40:12,2019-07-09 10:40:12,0.001s,PASSED
