Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IPPR,Chrome 74.0.3729.169,,2019-05-28 13:32:58,2019-05-28 13:34:12,1m - 14.019s,PASSED
,,,,,,
Test Cases/REALratings/IPPR/formSubmission,Chrome 74.0.3729.169,,2019-05-28 13:32:58,2019-05-28 13:33:22,23.577s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-05-28 13:32:59,2019-05-28 13:33:03,3.448s,PASSED
"navigateToUrl(""https://ippr-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch IPPR Application,2019-05-28 13:33:03,2019-05-28 13:33:06,3.321s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-05-28 13:33:06,2019-05-28 13:33:07,1.134s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-05-28 13:33:07,2019-05-28 13:33:07,0.004s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-05-28 13:33:07,2019-05-28 13:33:07,0.022s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-05-28 13:33:07,2019-05-28 13:33:07,0.300s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-05-28 13:33:07,2019-05-28 13:33:08,0.290s,PASSED
email = rad.nextInt(2000),Chrome 74.0.3729.169,,2019-05-28 13:33:08,2019-05-28 13:33:08,0.002s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/University Emailid""), ""ippr"" + email + ""@test.com"")",Chrome 74.0.3729.169,Enter University Email,2019-05-28 13:33:08,2019-05-28 13:33:08,0.286s,PASSED
"click(findTestObject(""REALRatings/IPPR/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-05-28 13:33:08,2019-05-28 13:33:08,0.080s,PASSED
