Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NorthHighland,Chrome 74.0.3729.169,,2019-06-04 12:52:19,2019-06-04 12:53:47,1m - 28.083s,PASSED
,,,,,,
Test Cases/REALratings/NorthHighland/formSubmission,Chrome 74.0.3729.169,,2019-06-04 12:52:19,2019-06-04 12:52:44,25.369s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-06-04 12:52:21,2019-06-04 12:52:24,3.766s,PASSED
"navigateToUrl(""https://nh-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch NorthHighland Application,2019-06-04 12:52:24,2019-06-04 12:52:28,3.988s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-04 12:52:28,2019-06-04 12:52:29,1.140s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-06-04 12:52:29,2019-06-04 12:52:29,0.004s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-06-04 12:52:29,2019-06-04 12:52:29,0.028s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-06-04 12:52:29,2019-06-04 12:52:30,0.344s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-06-04 12:52:30,2019-06-04 12:52:30,0.272s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,Enter University Email,2019-06-04 12:52:30,2019-06-04 12:52:30,0.002s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/University Emailid""), ""nh"" + Email + ""@test.com"")",Chrome 74.0.3729.169,,2019-06-04 12:52:30,2019-06-04 12:52:30,0.320s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-06-04 12:52:30,2019-06-04 12:52:31,0.109s,PASSED
"comment(""Main Qualifications"")",Chrome 74.0.3729.169,,2019-06-04 12:52:31,2019-06-04 12:52:31,0.003s,PASSED
"ALevelYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""))",Chrome 74.0.3729.169,A-Level year,2019-06-04 12:52:31,2019-06-04 12:52:31,0.104s,PASSED
ALevelYearcount = 1 + rad.nextInt(ALevelYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:52:31,2019-06-04 12:52:31,0.003s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""), ALevelYearcount)",Chrome 74.0.3729.169,,2019-06-04 12:52:31,2019-06-04 12:52:31,0.463s,PASSED
"GCSEYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""))",Chrome 74.0.3729.169,GCSE Year,2019-06-04 12:52:31,2019-06-04 12:52:31,0.086s,PASSED
GCSEYearCount = 1 + rad.nextInt(GCSEYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:52:31,2019-06-04 12:52:31,0.002s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""), GCSEYearCount)",Chrome 74.0.3729.169,,2019-06-04 12:52:31,2019-06-04 12:52:32,0.442s,PASSED
"MainQualificationTotaloptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""))",Chrome 74.0.3729.169,Select Main Qualification,2019-06-04 12:52:32,2019-06-04 12:52:32,0.064s,PASSED
MainQualificationCount = 1 + rad.nextInt(MainQualificationTotaloptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:52:32,2019-06-04 12:52:32,0.000s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""), MainQualificationCount)",Chrome 74.0.3729.169,,2019-06-04 12:52:32,2019-06-04 12:52:32,0.147s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-04 12:52:32,2019-06-04 12:52:37,5.013s,PASSED
if (MainQualificationCount == 1),Chrome 74.0.3729.169,A-Level,2019-06-04 12:52:37,2019-06-04 12:52:37,0.002s,PASSED
