Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Schroders,Chrome 74.0.3729.169,,2019-05-27 13:44:49,2019-05-27 13:47:13,2m - 23.452s,PASSED
,,,,,,
Test Cases/REALratings/Schroders/Form Submission,Chrome 74.0.3729.169,,2019-05-27 13:44:50,2019-05-27 13:45:25,34.751s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-05-27 13:44:51,2019-05-27 13:45:02,10.423s,PASSED
"navigateToUrl(""https://schroders-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch Greensill Application,2019-05-27 13:45:02,2019-05-27 13:45:05,3.805s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-05-27 13:45:05,2019-05-27 13:45:07,1.250s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-27 13:45:07,2019-05-27 13:45:08,1.027s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-05-27 13:45:08,2019-05-27 13:45:08,0.004s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-05-27 13:45:08,2019-05-27 13:45:08,0.007s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-05-27 13:45:08,2019-05-27 13:45:08,0.572s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-05-27 13:45:08,2019-05-27 13:45:08,0.281s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,Enter University Email,2019-05-27 13:45:08,2019-05-27 13:45:08,0.001s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/University Emailid""), ""greensill"" + Email + ""@test.com"")",Chrome 74.0.3729.169,,2019-05-27 13:45:08,2019-05-27 13:45:09,0.410s,PASSED
"click(findTestObject(""REALRatings/Greensill/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-05-27 13:45:09,2019-05-27 13:45:09,0.198s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-27 13:45:09,2019-05-27 13:45:11,2.004s,PASSED
"comment(""University Information"")",Chrome 74.0.3729.169,,2019-05-27 13:45:11,2019-05-27 13:45:11,0.009s,PASSED
"UniversityTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University""))",Chrome 74.0.3729.169,University,2019-05-27 13:45:11,2019-05-27 13:45:11,0.181s,PASSED
UniversityCount = 1 + rad.nextInt(UniversityTotalOption - 1),Chrome 74.0.3729.169,,2019-05-27 13:45:11,2019-05-27 13:45:11,0.005s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/University""), UniversityCount)",Chrome 74.0.3729.169,,2019-05-27 13:45:11,2019-05-27 13:45:12,0.865s,PASSED
if (UniversityCount == 98),Chrome 74.0.3729.169,Other University,2019-05-27 13:45:12,2019-05-27 13:45:12,0.000s,PASSED
"UniversityCourseTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University Course""))",Chrome 74.0.3729.169,University Course,2019-05-27 13:45:12,2019-05-27 13:45:12,0.102s,PASSED
UniveristyCourseCount = 1 + rad.nextInt(UniversityCourseTotalOption - 1),Chrome 74.0.3729.169,,2019-05-27 13:45:12,2019-05-27 13:45:12,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/University Course""), UniveristyCourseCount)",Chrome 74.0.3729.169,,2019-05-27 13:45:12,2019-05-27 13:45:13,0.396s,PASSED
