Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
getEmployable Random,Chrome 75.0.3770.100,,2019-07-02 11:55:53,2019-07-02 11:58:58,3m - 4.843s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/launchSite,Chrome 75.0.3770.100,,2019-07-02 11:55:53,2019-07-02 11:56:07,14.070s,PASSED
"comment(""Opening getEmployable application"")",Chrome 75.0.3770.100,,2019-07-02 11:55:53,2019-07-02 11:55:54,0.123s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,Launch browser,2019-07-02 11:55:54,2019-07-02 11:55:58,4.153s,PASSED
"navigateToUrl(findTestData(""getEmployable/URL"").getValue(1, 1))",Chrome 75.0.3770.100,Invoke getEmployable site ,2019-07-02 11:55:58,2019-07-02 11:56:01,3.204s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,Maximize the browser,2019-07-02 11:56:01,2019-07-02 11:56:02,1.149s,PASSED
"verifyElementPresent(findTestObject(""getEmployable/form""), 10, STOP_ON_FAILURE)",Chrome 75.0.3770.100,Verify the site lauched sucessfully,2019-07-02 11:56:02,2019-07-02 11:56:02,0.080s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:56:02,2019-07-02 11:56:07,5.010s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/aboutYou,Chrome 75.0.3770.100,,2019-07-02 11:56:07,2019-07-02 11:56:30,22.583s,PASSED
"comment(""Enter aboutYou page details"")",Chrome 75.0.3770.100,,2019-07-02 11:56:07,2019-07-02 11:56:07,0.004s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.100,,2019-07-02 11:56:07,2019-07-02 11:56:07,0.004s,PASSED
"setText(findTestObject(""getEmployable/input_First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 75.0.3770.100,Enter First Name,2019-07-02 11:56:07,2019-07-02 11:56:08,0.183s,PASSED
"setText(findTestObject(""getEmployable/input_Last name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.100,Enter Last Name,2019-07-02 11:56:08,2019-07-02 11:56:08,0.204s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.100,,2019-07-02 11:56:08,2019-07-02 11:56:08,0.002s,PASSED
"setText(findTestObject(""getEmployable/input_University Email""), ""test"" + Email + ""@ac.uk"")",Chrome 75.0.3770.100,Enter University Email,2019-07-02 11:56:08,2019-07-02 11:56:08,0.290s,PASSED
"setText(findTestObject(""getEmployable/input_Personal Email""), ""personal"" + Email + ""@test.com"")",Chrome 75.0.3770.100,Enter Personal Email ,2019-07-02 11:56:08,2019-07-02 11:56:08,0.343s,PASSED
"setText(findTestObject(""getEmployable/input_Phone Number""), findTestData(""getEmployable/Applicants"").getValue(5, 1))",Chrome 75.0.3770.100,Enter Mobile Number,2019-07-02 11:56:08,2019-07-02 11:56:09,0.220s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-02 11:56:09,2019-07-02 11:56:19,10.004s,PASSED
"click(findTestObject(""getEmployable/input_date Of Birth""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,Select DOB,2019-07-02 11:56:19,2019-07-02 11:56:19,0.113s,PASSED
"click(findTestObject(""ApplyNow/Page_getEmployable - Assessment Form/a_04""))",Chrome 75.0.3770.100,,2019-07-02 11:56:19,2019-07-02 11:56:20,0.782s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:56:20,2019-07-02 11:56:25,5.009s,PASSED
"click(findTestObject(""getEmployable/gender""))",Chrome 75.0.3770.100,Select Gender,2019-07-02 11:56:25,2019-07-02 11:56:25,0.119s,PASSED
"click(findTestObject(""getEmployable/input_Other_next""))",Chrome 75.0.3770.100,Click Next ,2019-07-02 11:56:25,2019-07-02 11:56:25,0.092s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:56:25,2019-07-02 11:56:30,5.004s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/yourUniversity,Chrome 75.0.3770.100,,2019-07-02 11:56:30,2019-07-02 11:56:50,20.015s,PASSED
"comment(""Enter Your University Details"")",Chrome 75.0.3770.100,,2019-07-02 11:56:30,2019-07-02 11:56:30,0.004s,PASSED
"UniversityTotalOption = getNumberOfTotalOption(findTestObject(""getEmployable/select_University""))",Chrome 75.0.3770.100,Random Selection of University ,2019-07-02 11:56:30,2019-07-02 11:56:30,0.088s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.100,,2019-07-02 11:56:30,2019-07-02 11:56:30,0.000s,PASSED
UniversityCount = 1 + rad.nextInt(UniversityTotalOption - 1),Chrome 75.0.3770.100,,2019-07-02 11:56:30,2019-07-02 11:56:30,0.003s,PASSED
"selectOptionByIndex(findTestObject(""getEmployable/select_University""), UniversityCount)",Chrome 75.0.3770.100,,2019-07-02 11:56:30,2019-07-02 11:56:31,1.111s,PASSED
"UniversityCourseTotalOption = getNumberOfTotalOption(findTestObject(""getEmployable/select_UniversityCourse""))",Chrome 75.0.3770.100,Random Selection of University Course,2019-07-02 11:56:31,2019-07-02 11:56:31,0.063s,PASSED
UniveristyCourseCount = rad.nextInt(UniversityCourseTotalOption),Chrome 75.0.3770.100,,2019-07-02 11:56:31,2019-07-02 11:56:31,0.000s,PASSED
"selectOptionByIndex(findTestObject(""getEmployable/select_UniversityCourse""), UniveristyCourseCount)",Chrome 75.0.3770.100,,2019-07-02 11:56:31,2019-07-02 11:56:32,0.767s,PASSED
if (UniveristyCourseCount == 96),Chrome 75.0.3770.100,,2019-07-02 11:56:32,2019-07-02 11:56:32,0.001s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:56:32,2019-07-02 11:56:37,5.005s,PASSED
"DegreeTotalOptions = getNumberOfTotalOption(findTestObject(""getEmployable/select_Degree""))",Chrome 75.0.3770.100,Random Selection of Degree,2019-07-02 11:56:37,2019-07-02 11:56:37,0.081s,PASSED
DegreeCount = 1 + rad.nextInt(DegreeTotalOptions - 1),Chrome 75.0.3770.100,,2019-07-02 11:56:37,2019-07-02 11:56:37,0.000s,PASSED
"selectOptionByIndex(findTestObject(""getEmployable/select_Degree""), DegreeCount)",Chrome 75.0.3770.100,,2019-07-02 11:56:37,2019-07-02 11:56:37,0.113s,PASSED
"CourseDurationTotalOptions = getNumberOfTotalOption(findTestObject(""getEmployable/select_CourseDuration""))",Chrome 75.0.3770.100,Random selection of Course Duration and Year Of Study,2019-07-02 11:56:37,2019-07-02 11:56:37,0.064s,PASSED
CourseDurationCount = 1 + rad.nextInt(CourseDurationTotalOptions - 1),Chrome 75.0.3770.100,,2019-07-02 11:56:37,2019-07-02 11:56:37,0.001s,PASSED
"selectOptionByIndex(findTestObject(""getEmployable/select_CourseDuration""), CourseDurationCount)",Chrome 75.0.3770.100,,2019-07-02 11:56:37,2019-07-02 11:56:37,0.119s,PASSED
"selectOptionByIndex(findTestObject(""getEmployable/select_YearOfStudy""), CourseDurationCount)",Chrome 75.0.3770.100,,2019-07-02 11:56:37,2019-07-02 11:56:38,0.122s,PASSED
"click(findTestObject(""getEmployable/select_FullTime""))",Chrome 75.0.3770.100,Select Full Time ,2019-07-02 11:56:38,2019-07-02 11:56:38,0.089s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-02 11:56:38,2019-07-02 11:56:48,10.002s,PASSED
"click(findTestObject(""getEmployable/button_NextUniversity""))",Chrome 75.0.3770.100,Click Next ,2019-07-02 11:56:48,2019-07-02 11:56:48,0.148s,PASSED
delay(2),Chrome 75.0.3770.100,,2019-07-02 11:56:48,2019-07-02 11:56:50,2.002s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/Employee pages/Emp page 1,Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:51,1.704s,PASSED
"comment(""Enter Employee page 1 details"")",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:50,0.002s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Under 3 months_option_question_32""))",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:50,0.097s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Under 3 months_option_question_33""))",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:50,0.090s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_None_option_question_34""))",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:50,0.085s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_None_option_question_35""))",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:50,0.084s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Yes typically averaging at least 1-2 hours per week for the last year or more._option_question_36""))",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:50,0.098s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_None_option_question_37""))",Chrome 75.0.3770.100,,2019-07-02 11:56:50,2019-07-02 11:56:51,0.085s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_None_option_question_38""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.079s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_None_option_question_39""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.117s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Yes - mainly to work_option_question_40""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.088s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Interview(s) with Careers Advisor_option_question_41""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.103s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Very helpful_followup_question_4""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.091s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Knowledgable about some relevant careers._option_question_43""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.104s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Yes they helped me a little_option_question_44""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.091s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_My family_option_question_46""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.115s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/input_Friends of my family have helped me secure useful work experience._option_question_47""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.099s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 1/Page_getEmployable - Assessment Form/span_None of these_fa fa-angle-right fa-2x""))",Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:51,0.095s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/Employee pages/Emp page 2,Chrome 75.0.3770.100,,2019-07-02 11:56:51,2019-07-02 11:56:57,5.672s,PASSED
"comment(""Enter Employee page 2 details"")",Chrome 75.0.3770.100,,2019-07-02 11:56:52,2019-07-02 11:56:52,0.003s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:56:52,2019-07-02 11:56:57,5.002s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 2/Page_getEmployable - Assessment Form/input_I dont know much about any careers  suited to me._option_question_19""))",Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:56:57,0.091s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 2/Page_getEmployable - Assessment Form/input_concat(No I don  t know which career is best for me.)_option_question_24""))",Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:56:57,0.106s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 2/Page_getEmployable - Assessment Form/input_The general application process for graduate jobs (and internships if applicable)._option_question_30""))",Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:56:57,0.086s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 2/Page_getEmployable - Assessment Form/input_The career trajectory including how promotion is achieved and the pay at each level._option_question_31""))",Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:56:57,0.098s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 2/Page_getEmployable - Assessment Form/span_Not applicable or none of these_fa fa-angle-right fa-2x""))",Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:56:57,0.101s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/Employee pages/Emp page 3,Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:57:03,5.586s,PASSED
"comment(""Enter Employee page 3 details"")",Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:56:57,0.003s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:56:57,2019-07-02 11:57:02,5.003s,PASSED
"click(findTestObject(""getEmployable/Employee details/21-05-2019/Emp page 3/Page_getEmployable - Assessment Form/input_Application  Interview Skills_option_question_50""))",Chrome 75.0.3770.100,,2019-07-02 11:57:02,2019-07-02 11:57:02,0.102s,PASSED
"click(findTestObject(""Journey,background details/Emp page 3/Page_getEmployable - Assessment Form/input_No_option_question_51""))",Chrome 75.0.3770.100,,2019-07-02 11:57:02,2019-07-02 11:57:03,0.099s,PASSED
"click(findTestObject(""Journey,background details/Emp page 3/Page_getEmployable - Assessment Form/input_Yes - other technique_option_question_52""))",Chrome 75.0.3770.100,,2019-07-02 11:57:03,2019-07-02 11:57:03,0.100s,PASSED
"click(findTestObject(""Journey,background details/Emp page 3/Page_getEmployable - Assessment Form/span_None of the above_fa fa-angle-right fa-2x""))",Chrome 75.0.3770.100,,2019-07-02 11:57:03,2019-07-02 11:57:03,0.104s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/Employee pages/Emp page 4,Chrome 75.0.3770.100,,2019-07-02 11:57:03,2019-07-02 11:57:08,5.580s,PASSED
"comment(""Enter Employee page 4 details"")",Chrome 75.0.3770.100,,2019-07-02 11:57:03,2019-07-02 11:57:03,0.002s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:57:03,2019-07-02 11:57:08,5.003s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 4/Page_getEmployable - Assessment Form/input_Communication_option_question_14""))",Chrome 75.0.3770.100,,2019-07-02 11:57:08,2019-07-02 11:57:08,0.115s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 4/Page_getEmployable - Assessment Form/input_None of these_option_question_15""))",Chrome 75.0.3770.100,,2019-07-02 11:57:08,2019-07-02 11:57:08,0.110s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 4/Page_getEmployable - Assessment Form/input_None of these_option_question_16""))",Chrome 75.0.3770.100,,2019-07-02 11:57:08,2019-07-02 11:57:08,0.102s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 4/Page_getEmployable - Assessment Form/span_I can identify some habits that prevent me working at my best but find it hard to address them._fa fa-angle-right fa-2x""))",Chrome 75.0.3770.100,,2019-07-02 11:57:08,2019-07-02 11:57:08,0.096s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/Employee pages/Emp page 5,Chrome 75.0.3770.100,,2019-07-02 11:57:08,2019-07-02 11:57:14,5.666s,PASSED
"comment(""Enter Employee page 5 details"")",Chrome 75.0.3770.100,,2019-07-02 11:57:09,2019-07-02 11:57:09,0.003s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-02 11:57:09,2019-07-02 11:57:14,5.015s,PASSED
"click(findTestObject(""Employee details/Employee pages/Emp page 5/Page_getEmployable - Assessment Form/input_Prefect_option_question_1""))",Chrome 75.0.3770.100,,2019-07-02 11:57:14,2019-07-02 11:57:14,0.107s,PASSED
