Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
getEmployable- Autosifting,Chrome 75.0.3770.142,,2019-08-06 15:51:46,2019-08-06 15:55:06,3m - 19.377s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/launchSite,Chrome 75.0.3770.142,,2019-08-06 15:51:47,2019-08-06 15:52:02,15.642s,PASSED
"comment(""Opening getEmployable application"")",Chrome 75.0.3770.142,,2019-08-06 15:51:47,2019-08-06 15:51:48,0.180s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,Launch browser,2019-08-06 15:51:48,2019-08-06 15:51:51,3.592s,PASSED
"navigateToUrl(findTestData(""getEmployable/URL"").getValue(1, 1))",Chrome 75.0.3770.142,Invoke getEmployable site ,2019-08-06 15:51:51,2019-08-06 15:51:56,5.045s,PASSED
maximizeWindow(),Chrome 75.0.3770.142,Maximize the browser,2019-08-06 15:51:56,2019-08-06 15:51:57,1.159s,PASSED
"verifyElementPresent(findTestObject(""getEmployable/form""), 10, STOP_ON_FAILURE)",Chrome 75.0.3770.142,Verify the site lauched sucessfully,2019-08-06 15:51:57,2019-08-06 15:51:57,0.104s,PASSED
delay(5),Chrome 75.0.3770.142,,2019-08-06 15:51:57,2019-08-06 15:52:02,5.011s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Auto sifting/Aboutyou,Chrome 75.0.3770.142,,2019-08-06 15:52:02,2019-08-06 15:52:21,18.148s,PASSED
"comment(""Enter aboutYou page details"")",Chrome 75.0.3770.142,,2019-08-06 15:52:03,2019-08-06 15:52:03,0.004s,PASSED
"setText(findTestObject(""getEmployable/input_First Name""), ""Jam"")",Chrome 75.0.3770.142,Enter First Name,2019-08-06 15:52:03,2019-08-06 15:52:03,0.181s,PASSED
"setText(findTestObject(""getEmployable/input_Last name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.142,Enter Last Name,2019-08-06 15:52:03,2019-08-06 15:52:03,0.214s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.142,,2019-08-06 15:52:03,2019-08-06 15:52:03,0.005s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.142,,2019-08-06 15:52:03,2019-08-06 15:52:03,0.002s,PASSED
"setText(findTestObject(""getEmployable/input_University Email""), ""test"" + Email + ""@ac.uk"")",Chrome 75.0.3770.142,Enter University Email,2019-08-06 15:52:03,2019-08-06 15:52:03,0.267s,PASSED
"setText(findTestObject(""getEmployable/input_Personal Email""), ""personal"" + Email + ""@test.com"")",Chrome 75.0.3770.142,Enter Personal Email ,2019-08-06 15:52:03,2019-08-06 15:52:04,0.339s,PASSED
