Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
getEmployable-Intertested-NotMet Criteria,Chrome 75.0.3770.100,,2019-07-16 11:04:38,2019-07-16 11:07:18,2m - 39.203s,FAILED
,,,,,,
Test Cases/getEmployable/getEmployable Random/launchSite,Chrome 75.0.3770.100,,2019-07-16 11:04:39,2019-07-16 11:04:53,14.327s,PASSED
"comment(""Opening getEmployable application"")",Chrome 75.0.3770.100,,2019-07-16 11:04:39,2019-07-16 11:04:39,0.153s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,Launch browser,2019-07-16 11:04:39,2019-07-16 11:04:42,3.370s,PASSED
"navigateToUrl(findTestData(""getEmployable/URL"").getValue(1, 1))",Chrome 75.0.3770.100,Invoke getEmployable site ,2019-07-16 11:04:42,2019-07-16 11:04:47,4.110s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,Maximize the browser,2019-07-16 11:04:47,2019-07-16 11:04:48,1.137s,PASSED
"verifyElementPresent(findTestObject(""getEmployable/form""), 10, STOP_ON_FAILURE)",Chrome 75.0.3770.100,Verify the site lauched sucessfully,2019-07-16 11:04:48,2019-07-16 11:04:48,0.184s,PASSED
delay(5),Chrome 75.0.3770.100,,2019-07-16 11:04:48,2019-07-16 11:04:53,5.011s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/aboutYou,Chrome 75.0.3770.100,,2019-07-16 11:04:53,2019-07-16 11:05:16,22.702s,PASSED
"comment(""Enter aboutYou page details"")",Chrome 75.0.3770.100,,2019-07-16 11:04:53,2019-07-16 11:04:53,0.024s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.100,,2019-07-16 11:04:53,2019-07-16 11:04:53,0.003s,PASSED
"setText(findTestObject(""getEmployable/input_First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 75.0.3770.100,Enter First Name,2019-07-16 11:04:53,2019-07-16 11:04:53,0.189s,PASSED
"setText(findTestObject(""getEmployable/input_Last name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.100,Enter Last Name,2019-07-16 11:04:53,2019-07-16 11:04:54,0.209s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.100,,2019-07-16 11:04:54,2019-07-16 11:04:54,0.002s,PASSED
"setText(findTestObject(""getEmployable/input_University Email""), ""test"" + Email + ""@ac.uk"")",Chrome 75.0.3770.100,Enter University Email,2019-07-16 11:04:54,2019-07-16 11:04:54,0.285s,PASSED
"setText(findTestObject(""getEmployable/input_Personal Email""), ""personal"" + Email + ""@test.com"")",Chrome 75.0.3770.100,Enter Personal Email ,2019-07-16 11:04:54,2019-07-16 11:04:54,0.352s,PASSED
"setText(findTestObject(""getEmployable/input_Phone Number""), findTestData(""getEmployable/Applicants"").getValue(5, 1))",Chrome 75.0.3770.100,Enter Mobile Number,2019-07-16 11:04:54,2019-07-16 11:04:54,0.223s,PASSED
delay(10),Chrome 75.0.3770.100,,2019-07-16 11:04:54,2019-07-16 11:05:04,10.008s,PASSED
"click(findTestObject(""getEmployable/input_date Of Birth""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,Select DOB,2019-07-16 11:05:04,2019-07-16 11:05:05,0.146s,PASSED
